,Comment,Sentiment
29,Can anyone anyone tell me why is she so ugly,Negative
30,"She is such a bich, saying is it really dat bad bich u ate 3 strains of noodles n u dnt even eat spicy food cuz u prob dnt even like a slight of pain, she prob dnt even kno wats hes remotely even feeling, i can imagine sumwher close to death. Funny tho :)",Negative
31,The way he is screaming is ridiculous man,Negative
32,"I almost pissed myself from laughing‼️ Literally crying right now cause this shit was ABOVE & BEYOND hilarious‼️ IDK how I missed this upload 
😂😂🤣🤣😭😭🤦🏽‍♀️🤦🏽‍♀️💀💀",Negative
33,To far,Neutral
34,Mariah possessed him at 10:49,Neutral
35,boys always think to win,Positive
36,Gay?,Neutral
37,Laughed until I cried!,Positive
38,u need milk not water,Neutral
39,Im dead 😂😂😂😂😂😂😂,Negative
40,She gonna be next on one of them murder shows lol,Negative
41,i wish u girl eat that noodles!😡😡😡😡its not funny...are u gonna kill him?,Positive
42,Hotsause from hell 🤣. Delivered by the 😈 devil,Negative
43,Lol the way he screams 🤣🤣🤣🤣🤣🤣🤣,Positive
44,i hate your joke girlfriend you almost kill him,Negative
45,I would have been immediately suspicious as soon as she tried to rush so much.,Negative
46,Hhaahahahahaha,Neutral
47,you're a terrible person.,Negative
48,This is soooooo funnyyyy 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣my 50000th time watching,Neutral
49,I’m gonna go eat some ramen now hahaha,Positive
50,I tried spicy noodle before and it was like hell... 😂 and when Kate talks about what she’s gonna do I already feel bad for his stomach 😂 hilarious reaction tho,Positive
51,She is angel,Neutral
52,"Those screams ""ha haaa haa"" IMAO",Positive
53,Hahaha,Positive
54,"He felt the shit in his mouth but kept on eating. This is where bigger muscles can't win the game. You got to be wiser next time. I still wonder, she put so little of those stuffs, how hot could that be. I shall try it tomorrow, I hope I won't scream like him, I thought the stuffs got into his balls.",Positive
55,10:48,Neutral
56,Stupid u could kill him😒😒,Negative
57,He crying like a baby I had a ghost pepper habanero pepper and some sauce in California called Satan's blood liquid oil  man up brewski,Negative
58,is he gay? AHHAHAAHHAHHA,Neutral
59,Hahahahhahahahahhahaahaha nice prank,Positive
60,I fucking tapped out good one,Positive
61,That’s your husband? His voice is higher then yours,Neutral
62,You can get water  from the sink,Neutral
63,I laugh my ass offf rofl how he screams,Positive
64,Mission Accomplished 😂😂😂,Positive
65,That's not funny at all. That girl is a bitch,Negative
66,tbh i'm just waiting for one of them to die because of these challenges and i can tell some viewers will still find it funny 🤦🏻‍♀️,Negative
67,He is a bitch. He was yelling like a bitch😂😂,Negative
68,"Damn ,sweet couple I love it.....",Positive
69,His gf is so annoying.,Negative
70,She's not even eating shit and hers did the even have all that extra shit in it,Positive
71,10:22 When you finally propose to her!,Neutral
72,Dont do that u nonsense... That think must gonna be hospital..... Don't thnk y they all do that.. Jst because fun. Or subscriber. Thats it.. Hate that. Idea,Negative
73,Very very good kate,Positive
74,Hahahah when you're World War will end?,Negative
75,How could he not suspect something by the way she was acting?,Positive
76,The scream though 😂😂😂😂😂😂,Negative
77,Title was weird,Negative
78,Dude u sounded like a little girl 😂💀,Positive
79,"You need to burn her ass back on that ,you would never live that down young lady that’s an act of war holly hell",Negative
80,That's an assload of noodles.,Neutral
81,Diz is stupid 😡😡😡,Negative
82,"10:49 

Ok buddy.... we need to look at your vocal chords.. you may just be a girl.",Positive
83,Why did you do that to him ❌,Neutral
84,After all that he still won lol... He ate way more of the noodles than she did,Positive
85,Who else started laughing so  hard at 10:22,Positive
86,"this is dangerous stuff 😂😂 and it is, it can affect stomach",Negative
87,Fabulous!,Positive
88,10:22 funny 😂😂😂,Positive
89,She is cruel 😥,Negative
90,"Ice is the best because it doesn't contain a lot of water and it's cold so you can eat a lot of ice while cooling yourself down, with water you can't drink a lot because you'll have a vomiting sensation",Positive
91,I love you guys Simon and K,Positive
92,Why does this STUPID BITCH think is so Funny.. He should make a pot of Chili Beans for her and use his SHIT to spicen up the beans.. Know that Would be Funny..,Negative
93,I Would Have Thrown the Bowl of Noodles At Her Fucken Face.. She's a STUPID BITCH.. She's Going to KILL him..Lets see if She's Laughing when he's Dead on the Floor and her Sorry Ass is in a Police car..,Negative
94,Omg funny,Positive
95,That brought out the woman living inside his vocal cords lol.,Positive
96,THIS NOT A PRANK!!!!!!!!!!!! IT IS AN ASSULT AND SHE SHOULD HAVE BEEN ARRESTED!!!!!!!!!!!!!!1,Neutral
97,This is definitely one of my fav videos...I can’t stop watching it 😂😂,Positive
98,I feel so bad for home I almost cried,Negative
99,*4.4 dislikes for this video?.*,Negative
100,Kate=😍😍😍😍😍😍😍😍,Neutral
101,Hahahahahaha what the actual fuck 😂😂😂😂,Negative
102,This is abusive.  He should have cold cocked you for that.,Negative
103,Hes definitely gonna have some painful shit's. His reaction of him screaming like a girl was absolutely hilarious. I have to go back 5 to 6 times sorry watch that over and over again.,Positive
104,How can you beat him if you eat like one noodle at. A. Time.,Positive
105,Ha Ha was his catchphrase,Positive
106,SHE GOT YOU  GOOD  HA HA HA HA HA,Positive
107,U a such an idiot u can't do that to the man u love. Dats why ur boyfriend is cute and u a ugly,Positive
108,This is actually really dangerous. Spices cause an inflammatory effect on the oesophagus causing it collapse on airways sometimes. Prank challenges by uneducated fools.,Negative
109,i like how they still call each other babe after pranking him,Positive
110,Is she trying to kill him???,Negative
111,Good kat nice kat,Positive
112,"Yes he deserves this ...
I saw the last one",Positive
113,what if she forgot which is which?,Neutral
114,You should do one where you dose him with LSD.,Neutral
115,Water makes it worse slaiman 😂,Negative
116,"Loved the video, did the same prank on my boyfriend! Haha kinda extreme : ) 
Video - >  https://youtu.be/m6Ola8IuhMs",Positive
117,ew kates fucking annoying,Negative
118,Sele salio lo porron,Neutral
119,THE FUNNIEST THING I HAVE SEEN IN OVER 10 YEARS!!!!🇺🇸🤣🤣🤣🤣🤣 IM CRYING WATCHING THIS,Positive
120,Hwaaa hwaaa ......so funny,Positive
121,She's so wrong it's hilarious!!! 😂😂🤣🤣😂😂🤣,Negative
122,Bitches be crazy yall,Negative
123,"10:12 ""I'm gon beat you...I'm gonna beat you"" 😂😂😂😂she's so good!!",Positive
124,"10:28 ""Why do you suck at this"" omg!!! 😂😂😂",Negative
125,"Funniest video ever or some pretty good, Oscar worthy, acting 😂😂😂",Positive
126,This bih can't be serious....this is not even funny......you can't do this to someone.......I'm very hungry at you right now,Neutral
127,"Yes and put Castrol oil in his food , give him the shits . We luv you 2 . Pay his ass back literally hehheh",Negative
128,hahahahahaha,Neutral
129,I laughed so hard when he started haaan aaaahnnaaaa,Positive
130,hAaAaaAaaa😂,Neutral
131,"What had me laughing was how he yells ""AHHHH!!!"" Followed by shoving another huge mouthful of noodles in his mouth.",Positive
132,"He cried like a bitch. I’m not hating on him, I would cry too.",Negative
133,Girl you are so wrong! OMMFG revenge is coming your way. LoL 😂,Negative
134,what kind of hot sauce is it? i want some!,Positive
135,I’m so glad you didn’t get the bowls mix up . The joke would of been on you . LOL 😝,Positive
136,What a little shit. This was soooooo funny!!!!! New Follower. LMAO!!,Positive
137,Kate’s voice is annoying I cant,Negative
138,"Oh so we're gloating now huh Kate?

Slaiman,  tell her 4 words only.


THE GLOVES ARE OFF!",Neutral
139,"""Got a TANG to it"" hahahaha dead",Negative
140,My bro thought i was watching gay porn,Neutral
141,Hey Kate..next time put 6 bottle.,Neutral
142,Your make up job looks terrible,Negative
143,This is the best revenge...😜,Positive
144,Crazy white bitches,Negative
145,What the fuck she is so very heartless I can't believe she could do that I wouldn't be able to do something like that what if he died I know I'm being dramatic but you never know what people's body can handle are what kind of sickness they have,Negative
146,Did he just grab the flowers out that glass and drink the water lmao,Positive
147,i cant stop laughing watchin at Saliman reaction...:-),Negative
148,bruh she's gonna kill him,Negative
149,He could've gone to the bathroom to use that water,Neutral
150,OMG this is so funny... he was crying like a girl....    pretty mean not to have any drinks or working water though,Positive
151,I feel so bad for saliman😶😥😢😢😢😭😭😭😭😭😭,Negative
152,LOL😂,Neutral
153,“YES TAPOUT WHAT THE FUCK!!”,Neutral
154,"if my man talked like that 😂😂😂😂😂
BOY BYE!",Positive
155,Kiss her on the mouth! It will transfer some.,Positive
156,Ngayon ko Lang npansin di ngbibihis si slaiman hahahahaja,Neutral
157,povero ragazzo!!come fa ad avere ancora una relazione dopo tutti gli scherzi che hai fatto!;-),Neutral
158,Very cute to see slaiman crying like a babieee😂😂😍,Positive
159,I had to watch this couple a times cos it was so funny te way he screamed like a little girl.,Positive
160,To be fair Slaiman would have put in all of the hot sauce,Positive
161,Btw he won the challenge. He ate more.,Positive
162,I have been watching YouTube for yearrrrrrssss and I have to say this is the funniest vid I have ever seen! I never laughed this hard at ANY video.,Positive
163,Id put pure hot oil on her vaginal products...,Neutral
164,Extremely Dangerous too do .....,Negative
165,Not funny. People can damage their bodies with just the normal stuff; this could have sent him to the hospital.,Negative
166,"Eating starts around 9.55.
You're welcome.",Positive
167,Omg that face he makes when he said its hot I almost pissed myself,Negative
168,Please be careful hey too hot for him l,Positive
169,Wtf.... slaiman was crying,Negative
170,"I’ve never laughed so hard I’m my whole life...... 
sorry Saliman! 🥵🥵🥵",Negative
171,What a B and way too harsh 🤔,Negative
172,Call firefighters when he will go toilet.,Neutral
173,GOT EM CLASSIC RIGHT CHERE😏,Neutral
174,"Katie: 'why do you suck at this"".   Slaiman: ""IDK"".  Me: why did he just admit that he sucks at this, at least he's being honest",Negative
175,Skin turn pale,Neutral
176,🤣🤣🤣🤣🤣,Neutral
177,Kate is a so dumb person it makes me angry😂,Negative
178,You are evil,Negative
179,That whole prank would’ve gone to hell if he got the water 1st lol.,Negative
180,What a lovely lesbian couple lol,Positive
181,got a hospital ready and on standby.,Positive
182,"Just sauce, raw sauce",Neutral
183,This video inspired me to make noodles,Positive
184,Awwww babyyy,Neutral
185,"""im just gonna put a little bit""


puts more",Neutral
186,#mightymikebtown,Neutral
187,Acting Is Real...,Neutral
188,Why he keep moaning like that,Positive
189,He screams like an old lady😂😂😂😂😂,Positive
190,Not cool at all,Negative
191,Its way worse than when he did it to her because she only took one bite of the hot sauce on the cheeseburger,Negative
192,11:14  ...😂😂,Neutral
193,That is so evil but funny at the same time😂🤣,Positive
194,"Slaiman's voice is same as Louise from ""Unbox Therapy"".",Neutral
195,"shes surprised with 500k scoville units, i would imagine her face with the 8 million scoville unit extracts that are out there lol",Positive
196,10:24😂😂,Neutral
197,That was brutal😂,Neutral
198,I would laugh so hard if Kate accidentally ate the rly rly rly spicy one 😂,Positive
199,Go team Kate!!,Neutral
200,"She going to kill her boyfriend ,you will kill him....😣",Negative
201,Omg his lips,Neutral
202,You sure hes not gay with that kind of reaction and scream.,Negative
203,Aww I feel bad for him 😭😭,Negative
204,He needs to do something equally intense to her.,Positive
205,I'm not finding this funny at all,Positive
206,Wow he handled that like an absolute pussy!,Positive
207,Her taking small bites😂😂,Neutral
208,Hilarious!!!!  He screams like a pussy,Positive
209,I would be beyond pissed lol. She actually turned the tap off.,Negative
210,Little bitch,Negative
211,This is by far my favorite one.,Positive
212,There was no point to mix those hot souces. You should have just added the hottest to his noodles...,Negative
213,"She cares a lot about him
That's why she added so little of the sauces",Positive
214,13:48 what is in his hair,Neutral
215,10:37 evil grin 😂😂😂,Negative
216,This is the best reaction to hot food ever.,Positive
217,funny 😡,Positive
218,What a biatch.  She needs to get pile drived,Neutral
219,i would throw the bowl over the bitches head,Negative
220,"oh daam :D , this one is good :D :D",Positive
221,i die when he shout like a girl,Negative
222,You are a fuc#ed up person/girlfriend!!!,Neutral
223,Dead wrong!!!,Negative
224,That was funny,Positive
225,OMG I love this prank😂😂,Positive
226,Haa haa what the hell  omg its so hot,Negative
227,At least he won 😂,Positive
228,His voice😁😁🤣🤣🤣🤣🤣,Neutral
229,🤣🤣🤣🤣🤣,Neutral
230,At 10:30 slaiman turned into Mickey mouse 😂😂😂,Neutral
231,Hahahahaha what’s da heckk is haaaaaaaaaaaaa haaaaaaaaa it’s like they are grabbing your balls hahaha am dying 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Positive
232,love you sister ....good,Positive
233,"Damn that’s messed up , he could’ve got a stomach ulcer ..",Negative
234,Kate your gonna get it worst your gonna cry that's what you do best,Negative
235,Lot of noodles 😂😂,Neutral
236,"He deserves this because when you came back from your holiday,he pretended to not give a shit about you, which I find really rude so go ahead and prank his ass",Negative
237,Hahaha,Positive
238,I feel bad for him because lowkey she prob made those noodles hotter then the Carolina reaper lowkey adding all of that shir,Negative
239,TOOOOO FUNNY!!!!!! lol,Positive
240,hahahhaa,Neutral
241,"That ""Haaa Kate!"" at 11:13 gets me every time 🤣",Neutral
242,"The fact that every one ignored is that this could cause him to cough up blood, cause heavy breathing, dizziness and probably the immune system would react to it causing unwanted allergic reaction

Edit:- i wrote this before watching and she is just like ""babe is this that bad?""...like yes my dear lady, it could have proved fatal had he eaten all in one go",Neutral
243,🤣🤣🤣🤣🤣🤣,Neutral
244,"These 2 are bad at pranks.... the chick tries too hard, and she is legitimately dangerous",Negative
245,It would have been so funny if she mixed them up and gave herself the tampered one.,Positive
246,Omg..she gon kill him. Bruh 1hunnit thousand😂👀,Negative
247,i got a good idea to deal with my boyfriend😈,Positive
248,i see his reaction and hes not even joking. the frank is too dangerous.,Negative
249,My favorite part was when he realized she shut his water off. While his mouth was on fire.,Positive
250,"You're a heartless bitch, Kate 😂 I love you 😂😂😂❤❤",Negative
251,Then she hid the drinks and cut the water off. 😂 Im Crying over here... #Savage😂😂😂,Negative
252,I just hope it wasn't as bad coming out as it was going in... 😂😳😱😭,Positive
253,This is karma to when slaiman did this to kate,Neutral
254,8000 is not alot i,Neutral
255,She burnt ya literally. Lol.  Great prank!!,Positive
256,"I feel bad fir him
😭😭😭😭😭😭",Negative
257,You should have made the water into clear jelly.,Positive
258,😂😂😂,Neutral
259,She's going to have to ask for an ice cream after that I'm pretty sure she turned them into a rocket ship he's going to blast off,Positive
260,Hahaha,Positive
261,Oh my i cant hold my stomach...wahaha,Neutral
262,Her pranks her little  too annoying,Negative
263,"I enjoy pranks as much as the next person, but that's just a waste of noodles and could of done some serious damage to his I sides. Bad form.",Negative
264,"""Ha""😂😂",Neutral
265,"Take a mouthful of sugar, it would neutralise. Try it next time.",Neutral
266,😂😂😂🤣🤣🤣🤣,Neutral
267,"""You need to take a dump?""  13:50 ...... OMG, total ROFL.",Positive
268,Wow,Positive
269,I would fucking kill you,Negative
270,She has no top lip 😂😂,Negative
271,Ur so mean to him! U even turned the water off?!?,Neutral
272,Obviously a white boy can’t take heat,Neutral
273,DUDEEEEE NOT COOL,Negative
274,That actully looks good😂😂😂,Neutral
275,Slaiman won. He ate way more than Kate,Positive
276,I love kate so much because she comes up with the best pranks.,Positive
277,That's F in funny,Positive
278,"Bro the way he shouts that's lit bro 🤣🤣🤣🤣🤣 
Like a shemale 🤣🤣",Positive
279,How many years they will be like that i  mean with out a marriage,Positive
280,10:21 shit starts Ahhh Ahhhhh,Negative
281,He screaming like Gina Gerson!! Haha,Positive
282,😂😂,Neutral
283,Everyone who finds this funny deserves most heartless human being award,Positive
284,Evil! Better add poison in his noodles. Deserves a break up,Negative
285,😂😂😂😂😂😂😂😂😂😂😂😁😁😁😁😁,Neutral
286,I thought I found a new channels to keep up with but you two suck🤐🤐you both lick each other’s buttholes,Neutral
287,You two suck so hard,Negative
288,Tap out????  Tap out???  LMAO!!,Positive
289,HAHAHAHAHAHAHAHA Slaiman's fave so precious. Lipps red face in fear of death. Just looked like a clown that was about to die xD,Positive
290,"Not good.. it can be dangerous, I liked all your videos guy but trust me dont play with lives",Positive
291,Why do you suck at this??? 😂😂😂 could watch him whining for hours.,Negative
292,She s soo weird how can she keeps dat all 3 oh goodness n she s still filming u n u told her already to stop oh god poor guy 😂😂😂😂😂😂😂😂😂😂,Negative
293,I'm dead 😭🤣😂 his faces are hilarious lmfao,Positive
294,LOL.......that is one Wicked Witch Wife and Dumb F(u)ck Husband.,Negative
295,That was dumb water makes it worse,Negative
296,He sounds like a girl moaning,Positive
297,Lmao... those “haaa” tho😭😭😹,Neutral
298,Who is watching this again in 2019? I died when the hiccups begun 😂😂😂😂,Negative
299,your bf can drink water out of the toilet,Neutral
300,Slaiman actually won the challenge. He took it so sportingly. Still he gets hatred. And kate gets sympathy. When kate hits him. Kate shouts at him. But if slaiman reacts people find it mean.,Positive
301,Slaiman is sweet,Positive
302,The fun begins at 10:00 😂😂😂😂,Positive
303,This is really maddddd,Neutral
304,prank gone wrong,Negative
305,that's bad you gal you don't have the heart save life gal,Negative
306,omg i spit icecream out my ears,Neutral
307,check out The bells life chilli extract 9-11 Scoville units they had teaspoon of it,Positive
308,This is really terrible 🤣🤣🤣🤣but it is dangerous also and I admit he is very decent after everything 😆😆,Negative
309,"Good job kate... 
Do more 
And look at 10:28 haaaaaa haaaaaaa 
I feel happy hope he lurn something",Positive
310,Awesome! Payback is a $&@! %,Positive
311,Too funny!,Positive
312,that scream tho lol,Neutral
313,ㅋㅋㅋㅋㅋ 불닭볶음면 ㅋㅋㅋㅋㅋㅋㅋ ㅈㄴ 웃기넼ㅋㅋㅋㅋㅋㅋ,Neutral
314,"This was hilarious I could not stop laughing, I subscribed after this 🤣😂",Positive
315,this is so hilarious great revenge kate!!,Positive
316,"😹😹😹😹 Kate that was epic,the screams tho 🙌🙌 and love you kate",Positive
317,🤣🤣🤣🤣🤣🤣,Neutral
318,Homer would be disappointed lol !!!,Negative
319,"No meu país isso se chama ""Uma puta falta de sacanagem"" kkkkkkkkkkkk",Negative
320,Hot sauce from hell is nothing.,Negative
321,That's not funny! How can you go to these lengths for just a silly prank! Please stop with these prank and stuffs..they may take a toll on your relationship.,Negative
322,불닭볶음면 anyone korean?,Neutral
323,"he said he cant breath and you are laughing ,  that is ridiculous",Positive
324,"i dnt like to see it that was hurting ,, are you trying to kill him ???",Negative
325,i feel sorry for him already,Negative
326,Slaiman behave like a Nerd,Positive
327,Firstly what your eating is not noodle  its ramen,Neutral
328,I died whem he started making bird noises!,Negative
329,That's dangerous. My boyfriend had to go to the ER because he ate too spicy food.,Negative
330,He needs to leave u can do so much better,Positive
331,🤣 🤣 🤣 🤣 🤣,Neutral
332,Ohh god i cant stop laughing,Positive
333,Orgasm voice @10:50,Neutral
334,"Okay, those sauces aren't THAT hot. Yes they are really spicy but 500,000 is as bad as the hottest kind of habanero",Negative
335,Ohh God...,Neutral
336,Varry nice couple 🤣😂🤣😂🤣,Positive
337,Woman you are meanest mean,Neutral
338,"Cry's like a spoiled fucking brat, so wish Omar would send him the vid of Kate",Positive
339,What a bitch,Negative
340,ㅋㅋㅋㅋ 😂😂😂😂😂😂,Neutral
341,https://www.youtube.com/watch?v=00w1HGqyxTM,Neutral
342,"YEAH!!!
http://mrwgifs.com/wp-content/uploads/2015/02/Mike-Myers-Gives-a-Big-Thumbs-Up-and-Smile-In-Waynes-World.gif",Positive
343,you got him so good................... he was so full of himself............... then was giving it like a biatch............ and when he went to the kitchen and realized no water.................. top notch...........,Positive
344,3:50 I love that band 🤘🏻,Positive
345,Mahal ko na kayo! We love and support your videos 😍,Positive
346,Omg 😂😂😂,Neutral
347,"He screams and talks like a bitch😂😂
LMAO",Positive
348,It was so funny,Positive
349,TOO FUCKING FAR!!! THAT COULD HAVE REALLY HURT HIS HEALTH.,Negative
350,Love how his voice goes up 10 octives LOL...geeez man up,Positive
351,i would kick her from the house,Neutral
352,"""You look like you're wearing lipstick ""LMAO DEAD",Positive
353,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅😅😅😅😅😅😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Neutral
354,Haaaa... 🤣🤣😂🤣😂,Neutral
355,"13:46 - 13:56 😂😂 especially the ""do you need to take a dump?"" 🤣🤣",Neutral
356,You two are out of control.,Neutral
357,He would'nt have made it if you had used 2 million + scovil Carolina reaper extract hot sauce.... still pretty funny though.,Positive
358,I've watched this so many times and I swear. This is really really hilarious af. Me and my girlfriend watch every prank you'll upload but I swear when I want a real laugh I come back to this 😂😂😂 Yeah just felt like dropping a comment today 😂,Positive
359,hahahahaha lol he's so weird LOL,Positive
360,yes slaiman's previous prank was TOO harsh!! but this... this is EVIL!! it could become way worse than that so be thankfull he was ok!,Negative
361,"O Loko tá pior que mulher , chorei de tanto rir 😂😂😂😂😂",Neutral
362,Shit next morning 😂😂,Negative
363,Love it! Revenge for all the other pranks,Positive
364,No very very dumb not smart bitch,Negative
365,Ok Kate leave your damn hair alone your not a model,Negative
366,And ugly to sorry,Negative
367,You won't think it's so damn funny if you hurt the man are you really that dumb bitch,Negative
368,Slaiman you should have known something was up-she's to anxious.,Negative
369,"Why simon voice turns into woman voice? ""haaa haaa"" hahah Lmao",Positive
370,Sometimes it feels great to be Single.,Positive
371,Imagine mixing up the bowl and having slaiman's bowl 😂,Neutral
372,He is so funny and very handsome hehehe,Positive
373,how is it a prank if he knows it a spicy noodle challenge xD,Positive
374,What brand is this and where can I buy it?,Neutral
375,"He stated that when they go out for spicy food , that she can never handle it. Shouldn't that and how calm she was about doing this challenge?",Positive
376,"that face when he realized there was no water, btw vegetable oil not water",Negative
377,How do you guys live with each other? I mean every moment is like walking on eggshells!!!,Positive
378,Lol best prank,Positive
379,Break up with her ... she must know serios to not,Neutral
380,I seen this prank somewhere else first. :o,Negative
381,Hahahahha kate. What are you doing aaaaaaahhhh stop get that camera out of my face lol,Positive
382,What a c***,Neutral
383,HAaAaAaAaAaA,Neutral
384,🤣🤣😂😂 I love these noodles !!!,Positive
385,It looks like as he was crying.😂😂😂😂,Positive
386,is it bieng rude to laugh when he say haaaaa  haaaaa only while on chair,Positive
387,If I was slaiman i wouldn’t care if Kate  got home from a holiday. This is not how to get revenge!.,Positive
388,"All you guys are hating Kate, but you guys should of seen the hot spicy video slaiman did on Kate (maccas burger)",Negative
389,you drink milk slaiman,Neutral
390,"Oh God !! That was not funny , I  feel bad for him🙁...",Positive
391,10:49 is he moaning?? 😂😂🤣,Negative
392,女きっも,Neutral
393,Lol,Positive
394,Team kate,Neutral
395,hehehehe,Neutral
396,This girl turned of the water. She is a monster. Get rid of her,Neutral
397,10:22 when you haven’t studied for a test,Neutral
398,"Best of the best kate. He is sooo funny, I can't stop laughing.",Positive
399,He is like pussy haha,Positive
400,"You don't like your noodles? It's a family recipe carried down from generations. LOL! Instead of water, you should have given him a glass of Vodka at the end. Refreshing isn't it. LOL!",Positive
401,I was in hysterics 😂😂,Negative
402,This is so cruel do you know how fucking painful 500000 scovillies is you stupid bitch,Negative
403,Waw for all the times simon got you was only a matter of time you got him good lmao,Positive
404,I feel sad for him  we all know ppl cant handle all hot spicy sauce in the world  ebven i cant handle it well it is very dangerous i wouldnt do this as a prank,Negative
405,I’m crying 😭😭😭😭😭😭☠️,Negative
406,10:48 when u nailed your girlfriend good,Positive
407,thats messed up she turned off the water!!!,Negative
408,Water makes it worse,Negative
409,10:22😂😂😂,Neutral
410,From this video we can tell Kate is horrible at cooking,Negative
411,Omg his lips become soooo red 😔,Neutral
412,"A very macho way to shout Slide""Man""",Neutral
413,Girls just always gotta go too far smh,Negative
414,u cant say u didn't deserve this!,Neutral
415,Voice change im dead lolllll,Negative
416,"Slaiman:- ahhhh 
Kate:- tap tap!
Slaiman:- I can't breathe!!! 
Kate:- tap tap tap!
Slaiman:- *dies*
Kate:- *silent* ... Tap!",Neutral
417,"""why do you suck at this"" lmfao",Positive
418,Kate went too far. There's a difference between making someone cry and nearly killing someone. If you do that kind of spicy pranks you gotta know where's the limit. Kate put waaayy too much in it.,Negative
419,He sounds like a bird,Positive
420,its too much funny,Positive
421,8000 is pants really 100000 is hot but still not really hot so the ghost chilli is up in the millions so basically you are WIMPS which funnily enough is something to do with physics and describes both of you perfectly :-),Positive
422,well we know he was gay,Positive
423,Put the sauce in your pussy,Neutral
424,Lazy slaiman,Negative
425,LOL!!!!! Kate is going to need a new boyfriend!! LOL!!!! This was awesome!!!!!  Well Done Kate!!,Positive
426,is he gay？🤔,Neutral
427,HAHAHAHAHAHAHAA,Neutral
428,LMAO He literally became a soprano after eating those noodles.😃😃😃😃,Positive
429,10:50 okay.. wtf?!! She sounded like a girl hahaha,Positive
430,Laughing so much,Positive
431,this one wasn't funny to me idk it could've gone a lot worse,Negative
432,Omg just start eating already,Neutral
433,"Anyone who watches this daft SLAG and her so called man, and think these pranks are for real, Must be fucking RETARDED. These CUNTS are fooling you into thinking its a real prank, come on there making money its all set up.",Negative
434,10:48,Neutral
435,"To be honest you both deserve every prank that you both enflict on eachother lol, you both have gone way to far with one and other on these pranks lmfao",Positive
436,"What a monster.
I love it.
His voice is the indicator for his lost eggs.
Really a bad girl, hehe.",Negative
437,I don't think this is funny,Positive
438,He completely deserve this well done Kate,Positive
439,"it's not funny at all. How come she only laugh when the guy already shouting for water? If I would be the guy, I'll definitely smack her face then break up with her. Tss 😡",Positive
440,"Famous last words ""ohh that's got some tang to it.""",Neutral
441,"Its really funny,,",Neutral
442,Hes hot ;),Positive
443,You are a BAD BAD girl  Katy. But very HOT 1000.0000.00000. Scovei you nits HOT🤔🤔🤔🤔🤔🤔🤔🤔,Negative
